PFAS,tissue,toadID,day,concentration_ug_per_kg
PFOS,liver,22-0240,21,849.8145812
PFOS,liver,22-0251,21,1216.326792
PFOS,liver,22-0203,28,1142.910892
PFOS,liver,22-0219,28,1229.386494
PFOS,liver,22-0221,28,1094.172557
PFOS,liver,22-0236,28,1688.804568
PFOS,liver,22-0241,28,1114.049536
PFOS,liver,22-0252,28,1716.112855
PFOS,liver,22-0182,35,2384.09107
PFOS,liver,22-0220,35,2168.800493
PFOS,liver,22-0224,35,2007.845721
PFOS,liver,22-0238,35,252.2545533
PFOS,liver,22-0253,35,939.8654353
PFOS,liver,22-0255,35,1782.58489
PFOS,liver,22-0183,42,887.4796916
PFOS,liver,00-0206,42,965.6774556
PFOS,liver,22-0222,42,1727.020495
PFOS,liver,22-0225,42,1329.058994
PFOS,liver,22-0254,42,1302.487186
PFOS,liver,22-0186,49,1652.950449
PFOS,liver,22-0205,49,824.4140688
PFOS,liver,22-0207,49,2166.001466
PFOS,liver,22-0223,49,820.2509418
PFOS,liver,22-0226,49,1075.329219
PFOS,liver,22-0244,49,1009.711713
PFOS,liver,22-0187,56,1293.369435
PFOS,liver,22-0208,56,1356.726209
PFOS,liver,22-0228,56,1424.999666
PFOS,liver,22-0229,56,926.2783235
PFOS,liver,22-0245,56,924.008934
PFOS,liver,22-0256,56,680.0368322
PFOS,wholebody,22-0180,0,83.16
PFOS,wholebody,22-0181,0,8.34
PFOS,wholebody,22-0196,0,36.31155064
PFOS,wholebody,22-0199,0,38.85892243
PFOS,wholebody,22-0201,0,6.023527906
PFOS,wholebody,22-0209,0,11.07134063
PFOS,wholebody,22-0210,0,19.18507243
PFOS,wholebody,22-0213,0,32.47503909
PFOS,wholebody,22-0230,0,30.59274592
PFOS,wholebody,22-0231,0,14.12241237
PFOS,wholebody,22-0246,0,18.76443031
PFOS,wholebody,22-0247,0,7.358043922
PFOS,wholebody,22-0237,0,39.12453447
PFOS,wholebody,22-0197,7,86.34473604
PFOS,wholebody,22-0212,7,165.6539782
PFOS,wholebody,22-0214,7,386.0525212
PFOS,wholebody,22-0232,7,63.54089254
PFOS,wholebody,22-0234,7,85.29156282
PFOS,wholebody,22-0249,7,158.1589508
PFOS,wholebody,22-0200,14,154.8746296
PFOS,wholebody,22-0215,14,114.3465325
PFOS,wholebody,22-0216,14,795.0169927
PFOS,wholebody,22-0233,14,145.7801144
PFOS,wholebody,22-0250,14,343.2392722
PFOS,wholebody,22-0202,21,182.937415
PFOS,wholebody,22-0217,21,99.99122982
PFOS,wholebody,22-0218,21,773.4238052
